block,comparison,region,metric,delta,p_wilcoxon_raw,p_wilcoxon_holm,p_ttest,direction,significant,n_nonzero
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,TC,HD95,7.3818722621258175,0.0005180584497095353,0.0015541753491286059,0.07384641418376423,worse,yes,99
S2 factorial,GN + LeakyReLU vs IN + LeakyReLU,WT,HD95,-11.38919228293678,0.6523869427044091,0.6523869427044091,0.0034373101492123016,better,no,116
S2 factorial,GN + PReLU vs IN + LeakyReLU,ET,Dice,-0.0043941386533989935,0.3505978988892422,0.7011957977784844,0.5220459441328318,worse,no,200
S2 factorial,GN + PReLU vs IN + LeakyReLU,TC,Dice,-0.005727577312864551,2.3067769028273233e-08,6.92033070848197e-08,0.3386749522313325,worse,yes,216
S2 factorial,GN + PReLU vs IN + LeakyReLU,WT,Dice,0.002150206232612528,0.7356079308590964,0.7356079308590964,0.8284962027219668,better,no,219
S2 factorial,GN + PReLU vs IN + LeakyReLU,ET,HD95,2.1759227304708304,0.15182007819925092,0.15182007819925092,0.4428677856977048,worse,no,74
S2 factorial,GN + PReLU vs IN + LeakyReLU,TC,HD95,-1.5002753767023584,0.0003264775637303874,0.0009794326911911622,0.6151617636634783,better,yes,98
S2 factorial,GN + PReLU vs IN + LeakyReLU,WT,HD95,-2.95626910305176,0.04499692529077226,0.08999385058154452,0.48153042242291266,better,no,121
S2 factorial,GN + Swish vs IN + LeakyReLU,ET,Dice,-0.040593495875662855,0.21803512731364316,0.21803512731364316,0.0027808946674060323,worse,no,205
S2 factorial,GN + Swish vs IN + LeakyReLU,TC,Dice,-0.001636861411383972,3.873731113657186e-09,1.1621193340971558e-08,0.81850510009682,worse,yes,217
S2 factorial,GN + Swish vs IN + LeakyReLU,WT,Dice,-0.0019486471732930166,0.07881293130004785,0.1576258626000957,0.8306293853934781,worse,no,219
S2 factorial,GN + Swish vs IN + LeakyReLU,ET,HD95,17.833187491377863,0.0001808791192807746,0.0005426373578423238,0.0009896321470498934,worse,yes,92
S2 factorial,GN + Swish vs IN + LeakyReLU,TC,HD95,-2.661581449166011,0.0006896839016858891,0.0013793678033717782,0.42696185052347757,better,yes,103
S2 factorial,GN + Swish vs IN + LeakyReLU,WT,HD95,-1.0644028768689253,0.05882285614959226,0.05882285614959226,0.785333607588263,better,no,119
S2 factorial,GN + TanhExp vs IN + LeakyReLU,ET,Dice,-0.018109228469826877,0.9207396654130775,0.9207396654130775,0.19397529572118832,worse,no,204
